geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
171,Allied Dunn's Marsh Neighborhood Association,Yes,218.2,1032,27.6,2356,11.6,34.6,4.1,32.1,33.7,5.1,4.9,24.2,892,525,39.6,21.4,1021,353,0,1964,7,66,128700,106.2,81,180,454,90,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",98.9,708,N/A,6.3
161,Arbor Hills Neighborhood Association,No,209.5,469,77.7,1102,4.8,20.2,18.3,75.8,12,2.7,4.1,5.3,447,315,24.7,6.1,463,7,0,1970,5,30,246069,92.02,2,15,22,7,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",100,466,N/A,6.2
132,East Buckeye Neighborhood Association,No,352.8,766,90.3,2043,5.8,23,5.8,85.2,4.7,2.9,2,5.1,747,600,32.9,4.8,772,8,0,1985,8,11,189622,105.92,2,28,17,10,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,97.9,221,N/A,6.8
100,Carpenter-Ridgeway Neighborhood Association,No,641.7,510,42,1016,6.4,16.6,7,66.4,12.1,3.6,3.6,14.2,481,213,18.9,7.1,506,6,0,1970,4,6,139192,99.21,14,115,55,63,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",73.6,1578,N/A,6.5
106,Emerson East Neighborhood Association,No,326.2,1058,54.8,2042,7.3,16.7,5.7,83.9,6.2,1,3.2,5.6,1013,419,19.5,5.6,1068,81,0,1925,5,68,166449,137.02,26,123,142,61,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",98.4,2516,N/A,7.4
89,Whitetail Ridge,No,62.8,183,94.5,507,7.1,25.4,2.7,76.2,3.9,6.7,2.9,10.2,181,130,34.3,4.4,191,0,0,1995,3,6,170565,114.09,2,9,2,2,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,63.3,246,N/A,6.9
142,Faircrest Neighborhood Association,No,206.2,558,56.9,1191,3.5,19.5,15.7,80.2,2.5,10.6,2.9,3.8,543,317,25.2,3.7,558,3,0,1965,0,1,284549,110.12,7,23,8,9,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",95.7,573,N/A,6.7
133,Glen Oak Hills Neighborhood Association,No,137.7,447,78.8,844,5.8,14.9,16.7,87.7,2.7,1.9,2.8,4.8,430,226,18.1,3,447,4,0,1956,3,8,187106,126.86,0,12,1,10,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",100,1530,N/A,6.4
99,Mayfair Park Neighborhood Association,No,355.4,252,53.8,593,7.8,22.3,9.4,64.9,8.1,4.1,3.9,19,245,135,24.9,7.3,254,6,0,1958,4,11,136422,101.04,24,126,150,79,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",63.4,1430,N/A,7.4
139,Glendale Neighborhood Association,No,536.5,988,74.5,2233,6.6,19.8,16.4,79.1,5.7,2.9,3.3,9.1,942,593,24.7,6.7,975,12,0,1958,7,38,172002,104.2,19,79,58,62,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",83.3,601,N/A,5.5
141,Greenbush Neighborhood Association,No,178.9,1148,25.5,2879,2.3,5.6,3.1,88.8,1.3,3.2,2.9,3.9,1116,280,9,1.7,1179,3,0,1917,2,143,243518,160.45,40,133,127,70,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"H,P,B,G,C",99.1,2126,N/A,7.3
351,Rocky Bluff Neighborhood Association,Yes,88.8,585,26.4,1038,3.6,9.6,5.6,76.8,2.4,12.1,4.2,4.5,564,167,11.1,3.5,532,6,32,1956,0,11,232492,157.81,0,20,10,21,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,2542,N/A,6.6
155,Greentree Neighborhood Association,No,299.2,721,79,1841,5.8,22.7,15,76.7,10.9,3.3,3.4,5.7,697,539,29.7,7.8,717,18,0,1967,3,70,217365,93.78,9,56,63,14,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",99.6,717,N/A,6.5
103,Hawthorne Neighborhood Association,No,253.5,538,55.5,1090,5.6,20.5,8.4,66,10.6,3.8,4.8,14.8,505,252,21.7,8.7,521,16,0,1955,2,40,122386,105.05,26,64,72,44,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",56.7,969,N/A,6.8
107,Hiestand Neighborhood Association,No,406,1473,25.8,3561,8.9,25.2,10.7,58.9,15.2,3.7,4.6,17.7,1422,826,32.3,15.1,1449,225,0,1978,4,54,168551,105.29,33,102,119,52,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",88.6,699,N/A,6.5
112,Heritage Heights Community Association,No,412.3,850,94.6,2240,4.9,20.5,15.1,89.9,2.5,1.7,1.8,4,842,691,29,2.8,816,5,0,1975,7,20,190121,95.95,8,32,21,22,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G",93.6,236,N/A,6.5
138,"Hill Farms, University Neighborhood Association",No,486,1426,62,2942,4.7,19,20.5,76.4,1.9,15.4,2.7,3.5,1385,790,22.2,3.3,984,4,0,1960,3,15,290823,130.44,3,42,9,24,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",98.6,1894,N/A,7.6
177,Summit Woods Neighborhood Association,No,108.2,422,53.2,721,6.8,14.2,12.7,85.1,5.8,2.9,2.2,4,377,175,16.6,4,421,6,0,1966,3,5,207176,119.4,3,27,14,10,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,G,89.2,427,N/A,6
91,Lake View Hill Neighborhood Association,No,245.8,514,71.9,1192,5.5,22,12.9,69.4,15.2,3.8,2.7,8.9,482,314,26.1,6.9,516,13,0,1961,3,22,160139,91.25,17,43,96,36,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",82.2,504,N/A,5.9
