geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
144,Tamarack Trails Community Condominium Association,No,63.8,238,62.8,464,10.5,26.4,25.5,58,23,6,5.6,7.5,224,137,30.1,21.8,320,0,0,1978,1,0,191431,93.95,0,3,1,2,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",100,275,N/A,6
130,Wisconsin Co-op Housing Association,No,74,156,96.5,355,1.9,21.2,16.2,91.9,0.4,2.9,3.3,1.4,152,104,28.3,5,177,1,0,1950,2,0,211570,130.11,0,3,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",100,628,N/A,6
140,Vilas Neighborhood Association,No,195.4,724,48.3,1881,3.2,13.4,6.6,90.8,1,3.5,2,2.8,705,321,20.1,2,737,0,0,1921,4,31,437696,193.3,8,55,34,21,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",56.5,1246,N/A,6.4
164,Westhaven Trails Homeowners Assoc,No,158.4,835,45.7,1956,10,26.5,2.8,66.2,13.3,4.9,4.4,11.3,801,466,33.3,10.3,832,25,0,1990,3,35,191379,112.01,7,36,22,12,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,92.4,303,N/A,7
143,Wexford Ridge Neighborhood,No,20.8,178,25.8,400,18.6,39.9,10.7,27.3,43.9,6.5,9,13.3,175,117,51.9,43.9,246,246,0,1976,0,0,N/A,N/A,18,30,105,6,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,100,145,N/A,5.7
117,Spring Harbor Neighborhood Association,No,372.6,1163,69.4,2224,6.4,17.4,12.2,78,5.2,5,3.4,8.4,1087,554,20.7,4.6,1247,80,0,1959,7,18,300823,157.13,10,37,31,21,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",91.1,574,N/A,5.3
128,Walnut Grove Homeowners Association,No,152.3,398,87.5,981,5.5,21.3,15.4,80.7,3.4,9.4,1.8,4.6,390,298,28.6,5.1,351,1,0,1977,1,2,268811,103.28,1,10,7,8,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,100,402,N/A,5.3
108,Worthington Park Neighborhood Association,No,47.7,288,22.8,701,11.5,38.6,2.5,30.7,47,9.2,3.6,9.5,247,156,45.8,30.1,247,52,0,1959,0,10,119725,113.63,22,28,82,11,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,C",98.1,1183,N/A,5.8
125,Blackhawk Homeowners Association,No,300.5,961,51.3,2168,6.6,29.3,5.3,83.4,1.5,10.5,2.6,2,880,551,37.4,5.1,1003,0,0,2000,3,1,538616,127.53,1,10,4,7,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,4,0,N/A,7.3
170,Stone Meadows Neighborhood Association,No,352.8,1175,89.1,3118,12.4,27.4,6.3,78.8,3.7,9.7,2.5,5.4,1134,795,42.9,4.4,1207,0,0,2000,15,23,218079,118.56,3,43,5,20,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",63.5,135,N/A,7.1
353,Twin Oaks Neighborhood Association,N/A,26.2,56,91,191,10,42.6,0.9,52.3,12.4,10,12,13.3,54,44,57.8,22.6,114,4,0,2005,0,1,172457,119.84,6,5,7,1,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,100,60,N/A,8
167,Country Grove Neighborhood Association,No,130.9,321,96.5,917,6,31.9,5.6,84.7,1.7,6.8,2.2,4.7,319,262,44.8,2.3,305,0,0,1996,2,5,300797,110.21,0,12,3,6,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,51.4,110,N/A,7.1
160,Prairie Hills Neighborhood Association,No,332.8,1306,54.4,3350,8.2,30.1,6.3,57.2,21.9,6,4.5,10.4,1236,817,34.4,13.9,1320,121,0,1977,8,174,175409,94.86,42,124,207,40,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",100,524,N/A,6.6
135,Junction Ridge Neighborhood Association,No,458.9,976,38.6,1628,3.7,10.5,30.9,80.6,1.5,13.2,1.5,3.2,904,347,10.3,2.1,896,0,0,1999,5,6,249542,114.2,2,78,19,74,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B",62.8,657,N/A,7.2
104,Burke Heights Neighborhood Association,No,237.5,289,35.4,607,7.5,22.6,13.1,67.3,10.6,2.4,8,11.7,268,127,26.1,11.3,238,11,0,1973,2,9,137188,84.78,11,140,62,31,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",84,463,N/A,6.3
156,Capitol View Neighborhood Association,No,122.2,153,47.5,388,11,29.5,5.9,40.5,14.5,26.7,2.4,15.8,149,77,28.8,5.6,150,3,0,1966,1,7,143567,113.58,5,6,9,2,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",85,312,N/A,5
