geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
121,Elvehjem Neighborhood Association,No,700,1720,79.4,4165,6.3,21.9,15.2,81.8,6.1,2.5,3.6,6.1,1639,1171,27.3,5.6,1726,29,0,1968,8,68,180363,104,30,108,95,67,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,76840,48,2.2,"P,B,G,C",92.8,436,98.8,6.5
147,Westmorland Neighborhood Association,No,342,1031,87.4,2207,6.2,22.2,15,91.7,0.5,3.9,2.2,1.7,971,594,28.9,4.6,993,1,0,1950,1,12,245898,140,4,45,2,18,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,80407,19,9.7,"P,C",99.3,1412,94.4,7.1
174,Hawk's Landing Neighborhood Association,No,557,639,78,1503,5.9,29.7,6.2,85.6,1.8,9.4,1.9,1.2,573,413,36.6,2.1,664,0,0,2004,2,8,519437,131,2,13,2,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,105354,5,1.4,None,0,0,100,7
152,High Point Estates,No,145,338,68.5,853,6.4,28.8,8.4,71.8,7.4,14,1.9,4.9,325,227,36.9,5.9,308,7,0,1992,2,3,414825,118,2,19,5,10,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,77004,N/A,N/A,"G,C",42.8,221,N/A,7.1
144,Tamarack Trails Community Condominium Association,No,64,238,62.8,464,10.5,26.4,25.5,58,23,6,5.6,7.5,224,137,30.1,21.8,320,0,0,1978,0,0,N/A,N/A,0,5,1,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",100,255,N/A,6
143,Wexford Ridge Neighborhood,No,21,178,25.8,400,18.6,39.9,10.7,27.3,43.9,6.5,9,13.3,175,117,51.9,43.9,234,246,0,1976,0,0,N/A,N/A,28,43,81,6,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,100,135,N/A,5.7
146,Midvale Heights Community Association,No,617,1514,86.3,3284,5.5,19,18.9,87,2,5.4,2.5,3,1465,953,24.3,3.4,1529,6,0,1958,2,39,228629,122,8,73,27,56,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,77848,5,3.7,"P,B,G,C",99.6,3061,95.5,7.8
157,Moorland-Rimrock Neighborhood Association,No,453,1100,49.3,2591,9.6,28.5,3.8,49.2,13.8,6.9,4.1,25.9,996,570,34.4,9.7,1100,21,0,1973,8,33,174680,111,40,69,168,31,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,40151,123,11.9,"P,B",82.9,356,96,7.4
136,Regent Neighborhood Association,No,373,2890,40.2,6344,3.4,12.4,6.2,85.2,1.2,8.6,2.4,2.6,2831,997,15.4,2,2861,1,0,1931,1,171,385308,189,26,135,120,70,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,51540,64,4,"H,P,B,G,C",100,3730,84.1,6.9
163,Skyview Meadows Neighborhood Association,No,80,229,78.5,532,7.8,20.8,4.7,81.4,5.3,6.2,2.2,4.9,220,150,30.1,3.4,201,1,0,1986,1,4,197046,102,4,13,3,7,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,70542,N/A,N/A,C,99.3,193,N/A,7.5
181,Monona Bay Neighborhood Association,No,85,653,9.5,1138,4.5,14.7,7.5,53.3,9.8,25.5,2.6,8.7,627,162,11.3,3.8,570,438,0,1964,0,13,243361,164,13,49,65,27,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,12362,N/A,N/A,"H,P,B,G,C",93.4,2127,N/A,7.8
168,Sunset Hills Neighborhood Association,No,39,101,94.9,213,5.6,14.9,34.9,91.6,0.5,3.3,0.9,3.7,97,74,17.8,3,102,0,0,1962,0,3,365293,145,0,2,0,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,93313,N/A,N/A,C,54.6,0,N/A,4.4
115,Tenney-Lapham Neighborhood Association,No,306,2231,29.5,4149,2.9,9.5,3.4,87.1,4.3,2,2.6,4.1,2113,541,9.8,2.5,2300,155,0,1914,3,191,279929,164,19,156,112,106,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,43929,24,4.9,"B,G,C",100,2580,87.1,7.1
352,Woodland Hills Neighborhood Association,N/A,94,363,71.1,682,4.8,14.8,11.9,81.8,2.1,7.4,2.6,6.1,351,172,19.2,5.6,368,1,0,1985,1,3,272260,111,1,5,1,3,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,92.6,292,N/A,6.9
88,High Crossing Neighborhood Association,No,725,615,31.1,1020,5.8,14.8,11.9,75.5,12.3,5.9,2,4.3,542,190,15.2,7.3,607,83,0,2002,1,0,N/A,N/A,5,26,13,19,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B",40.5,161,N/A,6.5
137,South Campus Property Owners Association,No,113,1528,0,4194,0,0.1,0.3,80.5,2.6,11.9,2.3,2.7,1448,28,0.1,0.1,1761,109,48,1988,0,25,N/A,N/A,22,134,104,79,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,14595,N/A,N/A,"H,P,B,G,C",100,5866,N/A,7.7
116,University Apartments Assembly,No,184,1174,0.7,2643,13.6,26.8,0.5,29.9,5.4,52.9,4.8,6.9,1120,676,39.8,7.7,51,1,1330,1963,1,0,N/A,N/A,0,1,0,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",93.1,1042,N/A,4
178,Leopold Neighborhood Association,No,122,553,29,1105,10.3,27.1,5.3,45,24.5,6.5,4.2,19.7,499,243,29.3,17.1,527,156,0,1982,3,34,N/A,N/A,33,50,124,15,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",97.3,541,N/A,7.5
348,State-Langdon Neighborhood Association,No,151,3313,0.3,10146,0.2,0.3,0.2,78.9,2.4,11.8,2.6,4.3,3152,95,0.3,0.1,3677,2,1619,1964,0,92,N/A,N/A,171,467,1045,153,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,9469,N/A,N/A,"H,P,B,G,C",100,6484,N/A,7.9
