geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
359,Madison West Neighborhood Association,N/A,2706.8,5747,49.4,11657,7.6,21,5.1,72.7,5.8,12.4,2.6,6.4,5352,2643,24.7,4.4,7103,172,0,2002,9,72,309356,130,25,340,271,91,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",21.5,889,N/A,7.4
1,City of Madison,No,51212.4,108641,49.3,232830,5.8,17.5,9.6,75.7,7.1,7.3,3.1,6.9,102329,47758,20.8,5.3,121045,6416,6648,1976,191,2574,252399,135,1122,8927,9443,10457,98.2,91,82.8,6.2,53,5.9,48,54896,4383,5.3,"H,P,B,G,C",63.2,13201,87.9,6.6
95,Mendota Hills Neighborhood Association,No,54.7,156,94.6,364,6.1,17.7,16.6,82.6,4.2,2.5,2.8,8,154,106,21.8,1.8,151,0,0,1959,0,13,180593,99,0,4,3,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G",100,258,N/A,6.2
175,Greystone,No,36.3,112,91.4,283,10.8,32.1,5,80.8,0,10.3,3.8,5,105,77,47.7,8.8,130,0,0,2005,0,0,330400,126,0,0,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,0,0,N/A,6.8
99,Mayfair Park Neighborhood Association,No,355.4,252,53.8,593,7.8,22.3,9.4,64.9,8.1,4.1,3.9,19,245,135,24.9,7.3,334,6,0,1964,0,8,146794,107,11,152,127,76,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",65.1,1430,N/A,6.3
137,South Campus Property Owners Association,No,113.2,1528,0,4194,0,0.1,0.3,80.5,2.6,11.9,2.3,2.7,1448,28,0.1,0.1,1984,109,182,1989,0,4,N/A,N/A,21,131,90,47,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,18986,48,8.2,"H,P,B,G,C",100,6201,44.8,7.6
177,Summit Woods Neighborhood Association,No,108.2,422,53.2,721,6.8,14.2,12.7,85.1,5.8,2.9,2.2,4,377,175,16.6,4,416,6,0,1966,0,10,224606,127,0,25,8,8,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",92.1,437,N/A,6.3
89,Whitetail Ridge,No,62.8,183,94.5,507,7.1,25.4,2.7,76.2,3.9,6.7,2.9,10.2,181,130,34.3,4.4,191,0,0,1995,0,6,186505,123,1,6,3,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,64.1,246,N/A,7.6
134,Sauk Creek Neighborhood Association,No,175.9,443,67.7,1029,5.6,23.2,11.6,79.5,3.5,11.7,2,3.3,430,279,29.6,3.3,459,0,0,1992,1,2,374295,120,1,22,2,12,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B",100,352,N/A,7.3
351,Rocky Bluff Neighborhood Association,No,88.8,585,26.4,1038,3.6,9.6,5.6,76.8,2.4,12.1,4.2,4.5,564,167,11.1,3.5,540,6,47,1957,0,4,252928,173,2,20,12,27,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",100,2547,N/A,5.9
354,Cardinal Glenn Neighborhood Association,No,355,83,88,162,9.2,22.8,1.7,77.2,3.7,10.5,3.1,5.5,65,50,35.9,6.9,479,0,0,2015,1,0,238000,138,0,0,0,3,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,0,0,N/A,7.9
151,Bram's Addition Neighborhood Association,No,105.2,505,21.1,1282,8.4,30.9,8.5,24.4,34.7,12.2,3.8,24.9,481,233,31,13,498,157,0,1965,0,41,108870,88,12,76,136,37,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",98.8,1632,N/A,6.7
352,Woodland Hills Neighborhood Association,No,94.5,363,71.1,682,4.8,14.8,11.9,81.8,2.1,7.4,2.6,6.1,351,172,19.2,5.6,375,1,0,1985,3,4,318451,131,0,7,3,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,93.4,352,N/A,6
132,East Buckeye Neighborhood Association,No,352.8,766,90.3,2043,5.8,23,5.8,85.2,4.7,2.9,2,5.1,747,600,32.9,4.8,786,8,0,1986,1,16,206063,114,6,23,13,10,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,97.9,241,N/A,6.6
172,Oakwood Village Association,No,29.8,100,25.7,119,0,0,97.9,98.3,0.2,0.8,0.5,0.3,86,16,0,0,626,30,0,1975,0,0,N/A,N/A,0,2,0,5,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",100,516,N/A,7.9
102,Sheridan Triangle Neighborhood Association,No,36.7,192,83.4,340,4.2,14.5,17.3,91.9,3.3,0.8,2.3,1.6,180,83,17,1.9,179,0,0,1947,0,2,156183,123,0,7,4,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",99.2,258,N/A,4.8
130,Wisconsin Co-op Housing Association,No,74,156,96.5,355,1.9,21.2,16.2,91.9,0.4,2.9,3.3,1.4,152,104,28.3,5,177,1,0,1950,1,1,244026,146,0,5,1,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",100,628,N/A,5.9
86,Westchester Gardens Neighborhood Association,No,522.3,522,61.2,1302,7.2,24.8,4.2,65.7,8.3,3.9,2.6,19.6,501,315,31,8.9,534,9,0,1986,2,13,180596,113,19,84,65,43,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",65.2,1022,N/A,7
357,Secret Places Neighborhood Association,No,147.6,174,78.8,473,15,33.5,2.3,84.1,2.3,5.6,3.6,4.4,165,138,55.4,6.9,365,0,0,2011,3,1,317450,162,0,0,3,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,0,0,N/A,8.3
361,Truax Neighborhood Association,N/A,21.5,80,0,191,12.8,43.3,2.7,19.5,38.5,21.1,10.2,10.7,72,55,55.3,42.6,196,175,0,2014,0,0,N/A,N/A,7,7,20,4,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",100,766,N/A,4.8
358,Liberty Place Neighborhood Association,N/A,74,153,88.5,432,14.5,30.7,0.7,65.7,10.8,11.2,4.6,7.7,147,115,45,6.6,198,0,0,2005,1,0,220197,124,0,2,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,100,93,N/A,8
84,Cherokee Park Neighborhood Association,No,146.1,280,98.9,648,3.1,17.6,18,93.6,1.9,1.9,0.6,2,269,216,23,2.3,274,0,0,1977,1,4,289616,104,0,6,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,96.5,20,N/A,7
161,Arbor Hills Neighborhood Association,No,209.4,469,77.7,1101,4.8,20.2,18.3,75.8,12,2.7,4.1,5.3,447,315,24.7,6.1,471,7,0,1970,2,24,266449,99,1,12,17,7,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",100,471,N/A,6.2
129,Sunset Village Neighborhood Association,No,265.8,931,79.2,1842,6.1,17.7,13,87.4,2,4.4,2.7,3.5,899,470,20.3,3.4,941,4,0,1948,1,16,270689,171,0,25,6,19,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",98.9,3176,N/A,5.5
94,Berkley Oaks Neighborhood Association,No,128.1,655,31.3,1399,8.6,27.1,10.6,48.8,21.1,15.9,4.9,9.4,626,297,24.8,12.8,722,255,0,1964,0,50,140052,102,16,80,104,48,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",100,504,N/A,6.6
93,Nobel Park Neighborhood Association,No,63.9,167,82.3,353,6.3,20.7,9.4,72.2,7.4,1.4,5.1,13.9,158,87,22.2,4.4,168,6,0,1955,1,9,140472,116,0,16,33,11,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",100,484,N/A,7.6
