geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
147,Westmorland Neighborhood Association,No,342.6,1031,87.4,2207,6.2,22.2,15,91.7,0.5,3.9,2.2,1.7,972,594,28.9,4.6,1093,0,1951,2,3,299406,168.13,1,35,16,10,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,85148,4,1.6,"G,C",99.5,1407,96.2,5.9
92,Lerdahl Park Neighborhood Association,No,196.8,454,65.4,925,7.5,16.6,16.4,80.4,8.2,2.5,4.5,4.5,419,263,20.5,7.4,475,0,1966,2,21,319602,143.64,3,28,34,9,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,81.1,258,N/A,5.4
114,Marquette Neighborhood Association,No,453.1,2627,37.6,4909,4.1,12.8,4.7,88.8,3.1,1.8,3.1,3.3,2517,865,15.4,4.5,2801,0,1916,1,112,363637,217.71,14,171,151,113,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",100,2395,N/A,6.7
87,North Lake Mendota Neighborhood Association,No,331.9,251,90.1,898,5.6,15.1,8.8,86.3,5.3,4.2,2.5,1.6,244,176,27.2,4.4,275,0,1992,0,5,258152,122.65,1,6,4,4,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,55.2,258,N/A,5.9
136,Regent Neighborhood Association,No,519.7,2924,40.8,6421,3.4,12.6,6.3,85.3,1.2,8.5,2.4,2.6,2863,1019,15.6,2,3159,47,1936,1,26,457380,218.3,6,118,75,62,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,56646,40,2,"H,P,B,G,C",99.7,4345,84.2,6.8
120,Richmond Hill Homeowners Association,No,63.6,144,89.5,395,4.6,26.3,11.1,85.3,5.3,3.6,1.8,3.9,142,113,39.1,4.2,139,0,1997,0,0,353412,114.63,0,2,0,3,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",37.1,80,N/A,6.6
101,Ridgewood Neighborhood Association,No,410.5,1549,53.4,3992,9.3,27,3.8,57.5,15.5,12.1,4.9,9.9,1497,937,35,10.5,1730,0,1995,9,45,227879,116.62,13,67,57,31,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,69.4,463,N/A,7.2
97,Sherman Neighborhood Association,No,410.8,1392,57.9,2698,7.8,19.4,11.3,72.4,13,4.5,3.5,6.6,1322,611,20.4,9.4,1387,0,1954,3,132,165111,128.08,16,150,185,68,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,3162,N/A,6.6
142,Faircrest Neighborhood Association,No,206.2,558,56.9,1191,3.5,19.5,15.7,80.2,2.5,10.6,2.9,3.8,543,317,25.2,3.7,558,0,1965,0,3,334956,129.33,1,17,15,16,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",96.2,578,N/A,6.8
171,Allied Dunn's Marsh Neighborhood Association,No,218.2,1032,27.6,2356,11.6,34.6,4.1,32.1,33.7,5.1,4.9,24.2,891,525,39.6,21.4,1031,0,1964,2,54,148806,123.13,27,106,246,45,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",99.1,705,N/A,6.1
169,Orchard Ridge Neighborhood Association,No,562.2,1082,75.9,2262,5,17.4,21.3,87.6,3.5,3,2.3,3.5,1036,641,21,3.8,1080,0,1964,4,23,245051,115.8,7,83,48,27,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",98.7,1274,N/A,6.6
159,Meadowood Neighborhood Association,No,373.7,1250,70.5,2962,7.9,25.3,12.6,68.6,13.7,3.9,3.7,10.2,1187,804,29.7,8.7,1281,0,1964,0,64,188227,112.03,7,83,183,26,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",96.7,836,N/A,7.1
113,Rolling Meadows Neighborhood Association,No,332.5,1004,80.9,2366,6.7,20.7,15,84.1,5.5,1.5,2.8,6.1,975,652,26.8,7.8,1042,0,1966,5,39,187798,119.53,4,54,41,21,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",99.1,416,N/A,5.9
143,Wexford Ridge Neighborhood,No,20.8,178,25.8,400,18.6,39.9,10.7,27.3,43.9,6.5,9,13.3,175,117,51.9,43.9,468,0,1976,0,0,N/A,N/A,2,25,42,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,100,130,N/A,8.4
