geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
161,Arbor Hills Neighborhood Association,No,209.4,469,77.7,1101,4.8,20.2,18.3,75.8,12,2.7,4.1,5.3,447,315,24.7,6.1,463,7,0,1970,1,30,264829,99,2,19,21,13,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",100,466,N/A,5.9
90,Bluff Acres Neighborhood Association,No,441.8,1849,38.5,3725,7.2,18.3,7.7,67.6,9.5,6.5,3.5,12.9,1748,876,20.1,5.3,1909,43,0,1982,5,13,179842,100,22,137,168,58,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",97.1,506,N/A,7.1
171,Allied Dunn's Marsh Neighborhood Association,No,218.2,1032,27.6,2356,11.6,34.6,4.1,32.1,33.7,5.1,4.9,24.2,892,525,39.6,21.4,1013,353,0,1964,2,80,133927,110,27,96,288,64,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",100,710,N/A,6.3
357,Secret Places Neighborhood Association,N/A,147.6,174,78.8,473,15,33.5,2.3,84.1,2.3,5.6,3.6,4.4,165,138,55.4,6.9,299,0,0,2008,2,1,258312,127,0,2,2,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,0,0,N/A,7.9
104,Burke Heights Neighborhood Association,No,237.5,289,35.4,607,7.5,22.6,13.1,67.3,10.6,2.4,8,11.7,268,127,26.1,11.3,238,11,0,1973,1,10,155200,93,10,133,51,35,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",84.8,463,N/A,7.2
95,Mendota Hills Neighborhood Association,No,54.7,156,94.6,364,6.1,17.7,16.6,82.6,4.2,2.5,2.8,8,154,106,21.8,1.8,151,0,0,1959,1,3,172703,96,0,5,4,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,G,100,258,N/A,6
98,Brentwood Village Association,No,103.8,611,37,1128,8.2,20.7,14.9,63.2,20.3,2.4,4.6,9.5,559,257,22.4,12.5,569,27,0,1962,0,22,179330,96,14,35,94,20,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G",73.7,258,N/A,7
120,Richmond Hill Homeowners Association,No,63.6,144,89.5,395,4.6,26.3,11.1,85.3,5.3,3.6,1.8,3.9,142,113,39.1,4.2,139,0,0,1997,0,2,349723,114,0,1,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B",69.8,80,N/A,7
94,Berkley Oaks Neighborhood Association,No,128.1,655,31.3,1399,8.6,27.1,10.6,48.8,21.1,15.9,4.9,9.4,626,297,24.8,12.8,772,255,0,1963,5,40,135377,100,24,73,110,37,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",100,504,N/A,6
135,Junction Ridge Neighborhood Association,No,458.8,976,38.6,1628,3.7,10.5,30.9,80.6,1.5,13.2,1.5,3.2,904,347,10.3,2.1,898,0,0,1999,3,7,264695,120,1,57,20,53,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B",66,657,N/A,7.7
144,Tamarack Trails Community Condominium Association,No,63.8,238,62.8,464,10.5,26.4,25.5,58,23,6,5.6,7.5,224,137,30.1,21.8,320,0,0,1978,1,0,217092,106,0,3,1,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",100,275,N/A,5.6
153,Burr Oaks Neighborhood Association,No,247.1,769,19.9,1745,9.7,30.4,3.8,20.1,19.1,22.2,4.6,34,645,362,35.3,13.4,767,121,0,1962,1,75,136863,87,31,103,268,71,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",99.5,1915,N/A,6.5
156,Capitol View Neighborhood Association,No,122.2,153,47.5,388,11,29.5,5.9,40.5,14.5,26.7,2.4,15.8,149,77,28.8,5.6,150,3,0,1966,1,4,139443,110,1,10,13,6,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",85.8,312,N/A,5
124,Stonefield Woods-Ridge Neighborhood Association,No,45.1,101,99.6,235,2.2,18.2,17.5,87.3,2.6,8.6,0.2,1.4,97,82,24.9,2.7,101,0,0,1990,0,1,406595,125,0,6,2,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,26.5,352,N/A,7.2
354,Cardinal Glenn Neighborhood Association,No,355,83,88,162,9.2,22.8,1.7,77.2,3.7,10.5,3.1,5.5,65,50,35.9,6.9,290,0,0,2013,1,0,259616,140,0,1,0,4,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,0,0,N/A,8.4
500,Dunn's Marsh Neighborhood Association,No,218.2,1032,27.6,2356,11.6,34.6,4.1,32.1,33.7,5.1,4.9,24.2,892,525,39.6,21.4,1013,353,0,1964,2,80,133927,110,27,96,288,64,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",100,710,N/A,6.3
352,Woodland Hills Neighborhood Association,No,94.5,363,71.1,682,4.8,14.8,11.9,81.8,2.1,7.4,2.6,6.1,351,172,19.2,5.6,370,1,0,1985,1,3,306889,125,0,11,3,3,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,93.4,352,N/A,7.1
100,Carpenter-Ridgeway Neighborhood Association,No,646.4,510,42,1016,6.4,16.6,7,66.4,12.1,3.6,3.6,14.2,481,213,18.9,7.1,506,6,0,1972,1,14,146653,103,13,74,34,40,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",76.4,1578,N/A,6.2
132,East Buckeye Neighborhood Association,No,352.8,766,90.3,2043,5.8,23,5.8,85.2,4.7,2.9,2,5.1,747,600,32.9,4.8,780,8,0,1986,3,30,195179,109,1,19,9,11,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,97.9,241,N/A,6.1
105,Eken Park Neighborhood Association,No,226.5,1366,50.4,2505,6.2,15,6.8,78.3,8.9,2,4,6.7,1282,518,16.3,5.5,1357,33,0,1948,4,100,135518,124,9,112,145,43,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",97.7,2371,N/A,6.8
106,Emerson East Neighborhood Association,No,326.2,1058,54.8,2042,7.3,16.7,5.7,83.9,6.2,1,3.2,5.6,1013,419,19.5,5.6,1070,81,0,1925,1,42,182796,150,23,85,123,47,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",98.4,2561,N/A,7.7
142,Faircrest Neighborhood Association,No,206.2,558,56.9,1191,3.5,19.5,15.7,80.2,2.5,10.6,2.9,3.8,543,317,25.2,3.7,558,3,0,1965,0,2,312361,121,2,25,10,15,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,C",96.2,578,N/A,6.5
133,Glen Oak Hills Neighborhood Association,No,137.7,447,78.8,844,5.8,14.9,16.7,87.7,2.7,1.9,2.8,4.8,430,226,18.1,3,447,4,0,1956,0,13,204145,138,0,23,5,7,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"G,C",100,1915,N/A,5.9
