"geo_key","name","bndry_chg","acres","hu_10","pc_own_10","tot_pop_10","pc_un5_10","pc_un18_10","pc_ov64_10","pc_wht_10","pc_afrm_10","pc_asn_10","pc_othm_10","pc_hisp_10","hh_10","fam_10","pc_fmwc_10","pc_fhwc_10","du_cty","asst_unts","du_cmps","yrblt_mdn","prd_viol","avg_huval","sqft_val","avg_c_hval","sqft_c_val","avg_n_hval","sqft_n_val","crm_pers","crm_prop","crm_scty","crash","prmry_ems","prmry_fire","pc_vterm","pc_appr","pc_krdy","pc_nhsg","pc_clgg","pc_hmbl","pc_frlu","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","fam_pov","pc_unem","gds_svcs","pc_trst","trst_trps","pc_ownvh","avg_stcnd"
"28","Sprecher","No","1544.3","2123","68.1","4646","8.6","22.3","13.4","84.2","5.5","3.4","3.2","3.7","1979","1143","28","5.3","3595","94","0","2007","46","290429","145.4","208227.9","146.6","254945.9","137.1","8","104","90","38",519,201,"92.4","90.5","82.5","2.5","58.6","5.6","36.8",6,83,67,"87618","52","2.1","P,B,G","82.5","75","92","7.1"
"12","Lakeview","No","427.7","1541","55.5","3394","7.1","24.3","9.3","60.8","16.5","8.9","4.1","9.7","1460","806","25.5","9.7","1821","382","0","1970","32","209879","131","110396.9","118.4","190153.3","128.2","31","102","173","82",514,199,"93.2","76.1","49.1","12.2","23.7","7.6","75.3",6,193,130,""N/A"",""N/A"",""N/A"","P,B,G","72","504",""N/A"","6.2"
"20","Southeast","No","1046","780","83.7","2194","13.2","33.1","2.8","69.7","11.1","6.7","4.7","7.8","744","575","46.9","9.8","1181","0","0","2007","13","258847","145.5","237896.7","150.6","321887.7","153.1","5","32","31","13",88,41,"93.2","89.5","60.8","6.4","32.4","7.1","66.5",7,358,87,""N/A"",""N/A"",""N/A"","None","55","177",""N/A"","7.6"
"1","City of Madison","No","51763.5","108672","49.3","232907","5.8","17.5","9.6","75.7","7.1","7.3","3.1","6.8","102359","47776","20.9","5.3","125548","6299","6962","1976","2326","297172","157.8","212057.4","172","316999.2","158.5","1353","8449","8088","4131",20852,10952,"91","84.4","76.5","6.3","53.2","4.9","47",276,11521,6582,"62906","3801","3.5","P,B,G","81.8","13010","88.9","6.5"
"62","Mineral Point","No","898.3","1036","19.2","1391","2.7","6.8","48.6","82","2.9","3.6","1.1","10.4","908","206","6","1.4","1292","78","0","1975","8",""N/A"",""N/A"","72821.1","321.7",""N/A"",""N/A"","24","434","165","233",825,276,""suppressed"",""suppressed"",""suppressed"",""suppressed"","58.8",""suppressed"","50",18,1373,515,"42987","32","3","P,B,G","43.3","4030","85.2","6.4"
"2","Capitol Square","No","276.7","4607","16.3","7485","0.9","1.9","8.7","80.6","8.4","4.2","2.5","4.3","4110","544","1.8","0.6","5437","443","0","1974","92","339938","207.7","437137.4","323.5","304197.5","183.2","115","364","837","291",1866,1095,""suppressed"","78.3",""suppressed"",""suppressed"","49.1",""suppressed"","62.3",2,210,214,"53469","4","1.7","P,B,G","100","5343","78.1","6.5"
"56","Burr Oaks","No","674.7","1426","23.6","3414","9.4","30.4","5.8","24.1","24.4","19","4","28.5","1276","672","32.8","12.3","1488","263","0","1964","46","153891","110.8","61467.2","79.4","138670.1","111.2","50","184","246","214",491,288,"91.8","78.6","54.7","22.9","14.2","5.9","83.1",15,689,340,""N/A"",""N/A"",""N/A"","P,B,G","94.2","2186",""N/A"","5.9"
"53","Crestwood","No","451.5","1029","80.6","2110","4.5","17.5","18.7","86.5","1.8","5.3","3.1","3.3","1000","598","21.4","3.4","1044","6","0","1961","15","302650","161.5","114700","149.2","260567.9","162","2","22","11","31",295,123,""suppressed"",""suppressed"","84.8",""suppressed"","84","4.9","15.9",10,365,123,"87800","4","0.8","P,B,G","82.9","2183","98","6.4"
"71","Raymond","No","951.9","2974","61.7","6590","10","23.7","4","75.3","7.4","6.8","3","7.4","2795","1667","30.7","6","3167","16","0","1994","69","282728","138.7","181738.3","137.6","255810.9","141.9","12","70","67","81",281,119,"90.6","89.1","86.3","3.9","57.7","4.9","41.4",14,635,480,"93486","43","0.8","P,B,G","64","594","99.5","6.5"
"45","Highland Park","No","499.7","3379","43.5","7419","3.6","13.6","6.8","85.7","1.2","8","2.3","2.8","3292","1250","16.8","2.1","3686","0","47","1932","41","501837","241.2","242073.4","298.1","395425.5","224.1","8","117","64","102",201,179,"93.6","91.4",""suppressed"",""suppressed"","97.6","2.1","4.6",7,419,418,"65227","46","1.9","P,B,G","99","4513","86.4","6.6"
