geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,prd_viol,avg_huval,sqft_val,avg_c_hval,sqft_c_val,avg_n_hval,sqft_n_val,crm_pers,crm_prop,crm_scty,crash,prmry_ems,prmry_fire,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_hmbl,pc_frlu,cc_prvdrs,cc_cpcty,cc_enrlmt,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
131,Parkwood Hills Community Association,No,295.9,538,90,1274,3.7,23.5,18.3,87.5,2,5,2.1,3.4,521,390,28.9,1.9,469,0,0,1972,1,381047,129.56,N/A,N/A,370780.7,126.21,7,27,29,47,134,67,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,6,270,65,N/A,N/A,N/A,"P,B,G",95.8,868,N/A,6
120,Richmond Hill Homeowners Association,No,63.6,144,89.5,395,4.6,26.3,11.1,85.3,5.3,3.6,1.8,3.9,142,113,39.1,4.2,139,0,0,1997,0,361172,116.97,N/A,N/A,333633.3,109.23,1,5,1,1,13,10,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,0,0,0,N/A,N/A,N/A,"B,G",37.1,80,N/A,6.6
169,Orchard Ridge Neighborhood Association,No,562.2,1082,75.9,2262,5,17.4,21.3,87.6,3.5,3,2.3,3.5,1036,641,21,3.8,1080,0,0,1964,23,255009,120.24,120843.8,82.5,247101.5,118.47,4,86,26,48,197,82,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,11,554,295,N/A,N/A,N/A,"P,B,G",98.6,1214,N/A,6.7
160,Prairie Hills Neighborhood Association,No,332.8,1306,54.4,3350,8.2,30.1,6.3,57.2,21.9,6,4.5,10.4,1236,817,34.4,13.9,1325,36,0,1977,89,213696,114.86,135374.6,107.45,218097.4,112.12,16,68,121,40,267,120,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,16,363,253,N/A,N/A,N/A,None,100,564,N/A,6.7
136,Regent Neighborhood Association,No,519.7,2924,40.8,6421,3.4,12.6,6.3,85.3,1.2,8.5,2.4,2.6,2863,1019,15.6,2,3156,0,47,1936,35,482995,230.07,194944.2,173,370220.7,213.91,8,92,67,97,170,184,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,8,431,463,54200,53,1.7,"P,B,G",99.6,4437,82.3,6.9
101,Ridgewood Neighborhood Association,No,410.5,1549,53.4,3992,9.3,27,3.8,57.5,15.5,12.1,4.9,9.9,1497,937,35,10.5,1730,40,0,1995,42,243782,124.04,136464.8,110.25,233842.9,127.36,5,97,56,37,173,73,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,5,123,64,N/A,N/A,N/A,None,69.4,463,N/A,7.9
102,Sheridan Triangle Neighborhood Association,No,36.7,192,83.4,340,4.2,14.5,17.3,91.9,3.3,0.8,2.3,1.6,180,83,17,1.9,179,0,0,1947,2,183075,142.53,N/A,N/A,166516.7,149.58,0,9,3,3,14,9,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,2,106,37,N/A,N/A,N/A,"B,G",99.2,258,N/A,4.7
182,Schenk-Atwood-Starkweather-Yahara Neighborhood Association,No,571.3,3117,51.4,5773,4.9,15.6,6.2,88,3.7,1.6,2.9,3.8,2996,1189,17.7,4.3,3670,230,0,1926,75,270258,200.59,230351,223.78,214125.7,181.39,28,173,240,185,604,334,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,10,242,232,N/A,N/A,N/A,"P,B,G",99.5,3161,N/A,6.1
357,Secret Places Neighborhood Association,No,147.6,174,78.8,473,15,33.5,2.3,84.1,2.3,5.6,3.6,4.4,165,138,55.4,6.9,474,0,0,2012,0,356650,181.69,278784.4,156.11,311619.5,146.08,0,6,0,2,9,9,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1,8,9,N/A,N/A,N/A,None,0,0,N/A,7.8
97,Sherman Neighborhood Association,Yes,502.1,1455,57.5,2835,7.9,19.6,11,72.1,13.6,4.3,3.4,6.7,1377,642,20.8,9.5,1450,168,0,1954,46,175242,136.54,122333.3,99.51,154691.2,139.87,29,159,253,150,684,281,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,11,456,213,N/A,N/A,N/A,"P,B,G",99.9,3162,N/A,6.8
